"Order status processing","Estado de la petición procesando"
"Order cancelled due to failed transaction","Petición cancelada por un fallo en la transacción"
"Communication with payment gateway failed","Error en la comunicación con la pasarela de pagos"
"Order cancelled due to failed transaction","Petición cancelada por un fallo en la transacción"
"Merchant Transaction Details not found for this order.","No se encontraron los datos de transacción comercial para realizar esta operación."
"IPG redirect","Redirigir IPG"
"Order status processing","Estado de la petición procesando"
"Payment completed successfully.","Se ha completado correctamente el pago."
"Order cancelled due to failed transaction","Se ha cancelado su petición debido a un fallo en la transacción"
"Payment is pending","El pago está pendiente"
"Oops some error occur, Please contact to seller","Ups, ha habido un error. Por favor, póngase en contacto con el vendedor."
"Error in receiving token.","Error al recibir la moneda."
"Merchant Transaction Details not found for this order.","No se encontraron los datos de transacción comercial para realizar esta operación."
"Error getting during refund payment, please try later again","Error al obtener el reembolso, inténtelo de nuevo más tarde."
"Error getting payment tokens from gateway, please try later again","Error al obtener las monedas de la pasarela, inténtelo de nuevo más tarde."
"Your order has been Cancelled due to failed transaction. Please try again","Se ha cancelado su petición debido a un fallo en la transacción, inténtelo de nuevo."
"Click here to continue","Clique aquí para continuar"
"Nethosted Intelligent Gateway","Pasarela Inteligente Hospedada"
"Enabled","Activada"
"Merchant API Key","Clave API Comercial"
"Merchant API Password","Contraseña API Comercial"
"Merchant Brand Id","ID Marca Comercial"
"Sandbox","Sandbox"
"Token Test URL","URL Test Moneda"
"Token Live URL","URL Live Moneda"
"Cashier Test URL","URL Test Cajero"
"Cashier Live URL","URL Live Cajero"
"Refund Test URL","URL Test Reembolso"
"Refund Live URL","URL Live Reembolso"
"New Order Status","Nuevo estado de la petición"
"Country","País"
"Currency","Divisa"
"Sort Order","Resolver Petición"
