"Order status processing","Procesando el estado de la petición"
"Order cancelled due to failed transaction","Petición cancelada por un fallo en la transacción"
"Communication with payment gateway failed","Error en la comunicación con la puerta de enlace de pagos."
"Order cancelled due to failed transaction","Petición cancelada por un fallo en la transacción"
"Merchant Transaction Details not found for this order.","No se encontraron los detalles de transacción del vendedor para realizar esta petición."
"IPG redirect","Redirigir IPG"
"Order status processing","Procesando el estado de la petición"
"Payment completed successfully.","Se ha completado correctamente el pago."
"Order cancelled due to failed transaction","Se ha cancelado su petición debido a un fallo en la transacción"
"Payment is pending","El pago está pendiente"
"Oops some error occur, Please contact to seller","Lo sentimos, ha habido un error. Póngase en contacto con el vendedor."
"Error in receiving token.","Error al recibir el token."
"Merchant Transaction Details not found for this order.","No se encontraron los detalles de transacción del vendedor para realizar esta petición."
"Error getting during refund payment, please try later again","Error al obtener el reembolso, vuelva a intentarlo más tarde."
"Error getting payment tokens from gateway, please try later again","Error al obtener tokens de la puerta de enlace, vuelva a intentarlo más tarde."
"Your order has been Cancelled due to failed transaction. Please try again","Se ha cancelado su petición debido a un fallo en la transacción, vuelva a intentarlo más tarde."
"Click here to continue","Haga clic aquí para continuar"
"Nethosted Intelligent Gateway","Puerta de enlace inteligente hospedada en la red"
"Enabled","Activada"
"Merchant API Key","Clave de la API del vendedor"
"Merchant API Password","Contraseña de la API del vendedor"
"Merchant Brand Id","ID de marca del vendedor"
"Sandbox","Sandbox"
"Token Test URL","URL de prueba de token"
"Token Live URL","URL de token en vivo"
"Cashier Test URL","URL de prueba de cajero"
"Cashier Live URL","URL de cajero en vivo"
"Refund Test URL","URL de prueba de rembolso"
"Refund Live URL","URL de rembolso en vivo"
"New Order Status","Nuevo estado de la petición"
"Country","País"
"Currency","Divisa"
"Sort Order","Resolver petición"
