"Order status processing","Orderstatusverwerking"
"Order cancelled due to failed transaction","Bestelling geannuleerd vanwege mislukte transactie"
"Communication with payment gateway failed","Communicatie met betalingsgateway mislukt"
"Order cancelled due to failed transaction","Bestelling geannuleerd vanwege mislukte transactie"
"Merchant Transaction Details not found for this order.","Gegevens verkopertransactie niet gevonden voor deze bestelling."
"IPG redirect","IPG-omleiding"
"Order status processing","Orderstatusverwerking"
"Payment completed successfully.","Betaling succesvol afgerond."
"Order cancelled due to failed transaction","Bestelling geannuleerd vanwege mislukte transactie"
"Payment is pending","De betaling is in behandeling"
"Oops some error occur, Please contact to seller","Oeps er treedt een fout op, neem contact op met de verkoper"
"Error in receiving token.","Fout bij het ontvangen van token."
"Merchant Transaction Details not found for this order.","Gegevens verkopertransactie niet gevonden voor deze bestelling."
"Error getting during refund payment, please try later again","Fout tijdens terugbetaling, probeer het later opnieuw"
"Error getting payment tokens from gateway, please try later again","Fout bij het ophalen van betalingstokens van de gateway. Probeer het later opnieuw"
"Your order has been Cancelled due to failed transaction. Please try again","Uw bestelling is geannuleerd vanwege een mislukte transactie. Probeer het opnieuw"
"Click here to continue","Klik hier om verder te gaan"
"Nethosted Intelligent Gateway","Nethosted Intelligent Gateway"
"Enabled","Geactiveerd"
"Merchant API Key","Verkoper API Key"
"Merchant API Password","Verkoper API Wachtwoord"
"Merchant Brand Id","Verkoper-Brand-ID"
"Sandbox","Sandbox"
"Token Test URL","Token-test-URL"
"Token Live URL","Token Live-URL"
"Cashier Test URL","Kassier Test-URL"
"Cashier Live URL","Kassier Live-URL"
"Refund Test URL","Restitutie Test-URL"
"Refund Live URL","Restitutie Live-URL"
"New Order Status","Nieuwe orderstatus"
"Country","land"
"Currency","Valuta"
"Sort Order","sorteervolgorde"
