"Order status processing","Elaborazione stato dell’ordine"
"Order cancelled due to failed transaction","Ordine annullato per transazione non riuscita"
"Communication with payment gateway failed","Comunicazione con gateway di pagamento non riuscita"
"Order cancelled due to failed transaction","Ordine annullato per transazione non riuscita"
"Merchant Transaction Details not found for this order.","Dettagli della transazione del venditore non trovati per questo ordine."
"IPG redirect","Redirect IPG"
"Order status processing","Elaborazione stato dell’ordine"
"Payment completed successfully.","Pagamento eseguito correttamente."
"Order cancelled due to failed transaction","Ordine annullato per transazione non riuscita"
"Payment is pending","Pagamento in attesa"
"Oops some error occur, Please contact to seller","Oops, si è verificato un errore. Si prega di contattare il venditore"
"Error in receiving token.","Errore nella ricezione del token."
"Merchant Transaction Details not found for this order.","Dettagli della transazione del venditore non trovati per questo ordine."
"Error getting during refund payment, please try later again","Errore durante il processo di rimborso, si prega di riprovare più tardi"
"Error getting payment tokens from gateway, please try later again","Errore durante la generazione del token di pagamento dal gateway, si prega di riprovare più tardi"
"Your order has been Cancelled due to failed transaction. Please try again","Il suo ordine è stato annullato perché la transazione non è andata a buon fine. Si prega di riprovare"
"Click here to continue","Fare clic qui per continuare"
"Nethosted Intelligent Gateway","Gateway Intelligent ospitato nella rete"
"Enabled","Abilitato"
"Merchant API Key","Chiave API del venditore"
"Merchant API Password","Password API del venditore"
"Merchant Brand Id","Identificativo marca del venditore"
"Sandbox","Sandbox"
"Token Test URL","URL test del token"
"Token Live URL","URL attivo del token"
"Cashier Test URL","URL test per la cassa"
"Cashier Live URL","URL attivo per la cassa"
"Refund Test URL","URL test per il rimborso"
"Refund Live URL","URL attivo per il rimborso"
"New Order Status","Nuovo stato dell’ordine"
"Country","Paese"
"Currency","Valuta"
"Sort Order","Ordinamento"
